2024-03-06 12:31:10,038 - root - INFO - DirectoryData(name='test_dir_2', ext=None, dir_flag=True, parent_dir='test_dir')
2024-03-06 12:31:10,039 - root - INFO - DirectoryData(name='aigufrf', ext='.jpg', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,039 - root - INFO - DirectoryData(name='gqxyykphog', ext='.bmp', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,039 - root - INFO - DirectoryData(name='itxktgvgzajrqr', ext='.exe', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,039 - root - INFO - DirectoryData(name='lwjtfyvasdfpoebvcrvdjviospnei', ext='.bmp', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,039 - root - INFO - DirectoryData(name='mcudzdnguazfclxfehkypan', ext='.bmp', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='pgpcjxhvhd', ext='.jpg', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='qfjifqwdqtpztq', ext='.exe', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='qxujttnogmpiqdl', ext='.bmp', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='rigtikpwwjnhvsa', ext='.bmp', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='thwbeaechewqqfxkrwuxr', ext='.exe', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='vllpatgqtbkjlyrkdpqhnuczxio', ext='.bmp', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='vrvmzqywkuydkdlxqwbb', ext='.bmp', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='vsiabwqhxzoarqjfeuuqfmxqoctilx', ext='.exe', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='wjsbplsubuhfscifdihxobvmlt', ext='.jpg', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='wsgrmfuuoelyywpimoqijnzyta', ext='.exe', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='zhzdtyoovj', ext='.exe', dir_flag=False, parent_dir='test_dir')
2024-03-06 12:31:10,043 - root - INFO - DirectoryData(name='123', ext='.py', dir_flag=False, parent_dir='test_dir_2')
